"","CV<5%","CV<10%","CV<15%","CV<20%","CV<25%","CV<30%","CV<35%","CV<40%","CV<45%","CV<50%","CV<55%","CV<60%","CV<65%","CV<70%","CV<75%","CV<80%","CV<85%","CV<90%","CV<95%","CV<100%"
"Batch_1",5.82278481012658,29.873417721519,51.3924050632911,67.5949367088608,76.4556962025316,81.7721518987342,84.5569620253165,87.8481012658228,89.620253164557,91.8987341772152,92.9113924050633,94.6835443037975,96.4556962025316,97.9746835443038,98.2278481012658,98.9873417721519,98.9873417721519,99.2405063291139,99.2405063291139,99.2405063291139
"Batch_2",15.6962025316456,41.0126582278481,58.4810126582278,70.8860759493671,76.9620253164557,82.5316455696203,85.5696202531646,87.8481012658228,89.1139240506329,90.379746835443,91.6455696202532,91.8987341772152,93.4177215189873,95.1898734177215,96.7088607594937,97.2151898734177,98.4810126582279,98.9873417721519,98.9873417721519,99.2405063291139
"Batch_3",11.8987341772152,32.1518987341772,54.6835443037975,65.3164556962025,73.4177215189873,76.9620253164557,82.2784810126582,85.3164556962025,87.0886075949367,87.3417721518987,89.3670886075949,90.8860759493671,94.1772151898734,96.9620253164557,97.2151898734177,97.4683544303797,98.2278481012658,99.2405063291139,99.2405063291139,99.4936708860759
"Batch_4",28.3544303797468,44.8101265822785,55.6962025316456,64.0506329113924,70.8860759493671,76.9620253164557,80,81.7721518987342,84.8101265822785,86.5822784810127,88.8607594936709,89.873417721519,90.8860759493671,91.1392405063291,92.4050632911392,92.9113924050633,93.6708860759494,94.9367088607595,95.4430379746835,95.9493670886076
"Total",4.55696202531646,23.5443037974684,46.0759493670886,60.5063291139241,69.620253164557,74.9367088607595,82.7848101265823,87.3417721518987,91.8987341772152,95.4430379746835,96.9620253164557,97.4683544303797,98.4810126582279,98.9873417721519,99.2405063291139,99.4936708860759,99.4936708860759,99.4936708860759,99.4936708860759,99.4936708860759
